Status,Severity,CWE,Description,Tool Category,Tool Name,Rule Name,
escalated,high,79,Unencoded input 'str' used in HTML context,xss,ESLint,Cross-site Scripting (XSS),
escalated,low,561,'i' is defined but never used.,,ESLint,Dead Code,
escalated,low,561,'path' is assigned a value but never used.,,ESLint,Dead Code,
escalated,low,561,'backendResponse' is defined but never used.,,ESLint,Dead Code,
escalated,low,561,'_' is assigned a value but never used.,,ESLint,Dead Code,
escalated,low,489,Unexpected console statement.,,ESLint,Leftover Debug Code,
escalated,medium,665,'require' is not defined.,,ESLint,Initialization,
escalated,low,561,'fs' is assigned a value but never used.,,ESLint,Dead Code,
escalated,medium,665,'require' is not defined.,,ESLint,Initialization,
escalated,medium,665,'require' is not defined.,,ESLint,Initialization,
escalated,low,561,'backendResponse' is defined but never used.,,ESLint,Dead Code,
escalated,medium,665,'require' is not defined.,,ESLint,Initialization,
escalated,medium,665,'require' is not defined.,,ESLint,Initialization,
escalated,medium,665,'require' is not defined.,,ESLint,Initialization,
escalated,low,561,'req' is defined but never used.,,ESLint,Dead Code,
escalated,medium,665,'require' is not defined.,,ESLint,Initialization,
escalated,medium,665,'require' is not defined.,,ESLint,Initialization,
escalated,low,489,Unexpected console statement.,,ESLint,Leftover Debug Code,
false-positive,info,398,Avoid using global variables.,Best Practices,PMD,Undeclared variables are global by default,
escalated,low,489,Unexpected console statement.,,ESLint,Leftover Debug Code,
escalated,medium,665,'initialize' is not defined.,,ESLint,Initialization,
escalated,medium,665,'require' is not defined.,,ESLint,Initialization,
escalated,medium,665,'exports' is not defined.,,ESLint,Initialization,
false-positive,info,398,Avoid using global variables.,Best Practices,PMD,Undeclared variables are global by default,
escalated,high,,The function setTimeout can be unsafe,scanjs-rules,ESLint,Call setTimeout,
escalated,medium,665,'UpdaterPromise' is not defined.,,ESLint,Initialization,
false-positive,info,398,Avoid using global variables.,Best Practices,PMD,Undeclared variables are global by default,
false-positive,info,398,Avoid using global variables.,Best Practices,PMD,Undeclared variables are global by default,
escalated,high,77,,,,Command Injection,
escalated,low,489,Unexpected console statement.,,ESLint,Leftover Debug Code,
false-positive,info,398,Avoid using global variables.,Best Practices,PMD,Undeclared variables are global by default,
false-positive,info,398,Avoid using global variables.,Best Practices,PMD,Undeclared variables are global by default,
escalated,medium,665,'UpdaterPromise' is not defined.,,ESLint,Initialization,
false-positive,info,398,Avoid using global variables.,Best Practices,PMD,Undeclared variables are global by default,
false-positive,info,398,Avoid using global variables.,Best Practices,PMD,Undeclared variables are global by default,
escalated,info,,Consider using ternary (lambda x: x if sys.version_info[0] &lt, 3 else lambda x: x.encode('latin1')),,PYLINT-R1706,Consider using ternary
false-positive,info,,"Import ""from google.protobuf import reflection as _reflection"" should be placed at the top of the module",,Pylint,Wrong Import Position,
false-positive,info,,"Import ""from google.protobuf import symbol_database as _symbol_database"" should be placed at the top of the module",,Pylint,Wrong Import Position,
false-positive,info,,"Import ""from google.protobuf import message as _message"" should be placed at the top of the module",,Pylint,Wrong Import Position,
false-positive,info,,"Import ""from google.protobuf import descriptor as _descriptor"" should be placed at the top of the module",,Pylint,Wrong Import Position,
escalated,medium,665,'sjcl' is not defined.,,ESLint,Initialization,
escalated,medium,665,,,,Initialization,
escalated,medium,665,'sjcl' is not defined.,,ESLint,Initialization,
escalated,medium,665,'sjcl' is not defined.,,ESLint,Initialization,
escalated,medium,665,'sjcl' is not defined.,,ESLint,Initialization,
escalated,medium,665,'sjcl' is not defined.,,ESLint,Initialization,
escalated,medium,665,'sjcl' is not defined.,,ESLint,Initialization,
escalated,medium,665,'sjcl' is not defined.,,ESLint,Initialization,
escalated,medium,665,'axlsign' is not defined.,,ESLint,Initialization,
escalated,medium,665,'QRCode' is not defined.,,ESLint,Initialization,
escalated,medium,665,'sjcl' is not defined.,,ESLint,Initialization,
escalated,medium,665,'sjcl' is not defined.,,ESLint,Initialization,
escalated,medium,665,,,,Initialization,
escalated,medium,665,'sjcl' is not defined.,,ESLint,Initialization,
escalated,low,561,'AESEncrypt' is defined but never used.,,ESLint,Dead Code,
escalated,medium,665,,,,Initialization,
escalated,low,489,Unexpected console statement.,,ESLint,Leftover Debug Code,
escalated,medium,665,'sjcl' is not defined.,,ESLint,Initialization,
escalated,medium,665,'sjcl' is not defined.,,ESLint,Initialization,
escalated,medium,665,'sjcl' is not defined.,,ESLint,Initialization,
escalated,medium,665,'sjcl' is not defined.,,ESLint,Initialization,
escalated,medium,665,,,,Initialization,
escalated,low,489,Unexpected console statement.,,ESLint,Leftover Debug Code,
escalated,medium,665,'sjcl' is not defined.,,ESLint,Initialization,
escalated,medium,665,'$' is not defined.,,ESLint,Initialization,
escalated,low,489,Unexpected console statement.,,ESLint,Leftover Debug Code,
escalated,medium,665,'sjcl' is not defined.,,ESLint,Initialization,
escalated,low,489,Unexpected console statement.,,ESLint,Leftover Debug Code,
escalated,medium,665,'sjcl' is not defined.,,ESLint,Initialization,
escalated,low,561,'e' is defined but never used.,,ESLint,Dead Code,
escalated,medium,665,,,,Initialization,
escalated,medium,665,'QRCode' is not defined.,,ESLint,Initialization,
escalated,medium,665,'sjcl' is not defined.,,ESLint,Initialization,
escalated,medium,665,'sjcl' is not defined.,,ESLint,Initialization,
escalated,medium,665,'sjcl' is not defined.,,ESLint,Initialization,
escalated,medium,665,'axlsign' is not defined.,,ESLint,Initialization,
escalated,low,489,Unexpected console statement.,,ESLint,Leftover Debug Code,
escalated,medium,665,'exports' is not defined.,,ESLint,Initialization,
false-positive,info,398,Avoid using global variables.,Best Practices,PMD,Undeclared variables are global by default,
false-positive,info,398,Avoid using global variables.,Best Practices,PMD,Undeclared variables are global by default,
false-positive,info,99,Redefining built-in 'str',,Pylint,Resource Injection,
escalated,info,398,,,,Unused import,
escalated,info,398,Trailing whitespace,,Pylint,Trailing whitespace,
escalated,info,398,Trailing whitespace,,Pylint,Trailing whitespace,
false-positive,info,,"Unnecessary ""elif"" after ""return""",,Pylint,Unnecessary else after return,
escalated,info,398,Trailing whitespace,,Pylint,Trailing whitespace,
false-positive,low,227,No value for argument 'littleEndian' in method call,,Pylint,API Abuse,
escalated,info,398,Trailing whitespace,,Pylint,Trailing whitespace,
escalated,info,398,Trailing whitespace,,Pylint,Trailing whitespace,
escalated,info,398,Trailing whitespace,,Pylint,Trailing whitespace,
escalated,info,398,Trailing whitespace,,Pylint,Trailing whitespace,
escalated,info,398,Trailing whitespace,,Pylint,Trailing whitespace,
false-positive,low,227,No value for argument 'littleEndian' in method call,,Pylint,API Abuse,
escalated,info,398,Trailing whitespace,,Pylint,Trailing whitespace,
escalated,info,398,Trailing whitespace,,Pylint,Trailing whitespace,
escalated,info,398,Trailing whitespace,,Pylint,Trailing whitespace,
escalated,info,398,Trailing whitespace,,Pylint,Trailing whitespace,
escalated,info,398,Trailing whitespace,,Pylint,Trailing whitespace,
false-positive,info,,"Unnecessary ""elif"" after ""return""",,Pylint,Unnecessary else after return,
false-positive,low,,Too many boolean expressions in if statement (6/5),,Pylint,Too many boolean expressions,
escalated,info,398,Trailing whitespace,,Pylint,Trailing whitespace,
escalated,low,665,Undefined variable 'e',,Pylint,Initialization,
escalated,info,398,Trailing whitespace,,Pylint,Trailing whitespace,
escalated,info,398,Trailing whitespace,,Pylint,Trailing whitespace,
false-positive,info,398,Trailing whitespace,,Pylint,Trailing whitespace,
escalated,low,,Value 'str' is unsubscriptable,,Pylint,Unscriptable Object,
escalated,info,398,Trailing whitespace,,Pylint,Trailing whitespace,
false-positive,info,,"Unnecessary ""elif"" after ""return""",,Pylint,Unnecessary else after return,
escalated,info,398,Trailing whitespace,,Pylint,Trailing whitespace,
escalated,info,398,Trailing whitespace,,Pylint,Trailing whitespace,
escalated,info,398,Trailing whitespace,,Pylint,Trailing whitespace,
false-positive,info,99,Redefining built-in 'bytes',,Pylint,Resource Injection,
escalated,info,398,Trailing whitespace,,Pylint,Trailing whitespace,
escalated,info,398,Trailing whitespace,,Pylint,Trailing whitespace,
false-positive,low,227,No value for argument 'littleEndian' in method call,,Pylint,API Abuse,
escalated,info,398,Trailing whitespace,,Pylint,Trailing whitespace,
false-positive,info,,"Import ""import time"" should be placed at the top of the module",,Pylint,Wrong Import Position,
false-positive,info,,"Import ""import uuid"" should be placed at the top of the module",,Pylint,Wrong Import Position,
false-positive,info,,"Import ""import base64"" should be placed at the top of the module",,Pylint,Wrong Import Position,
false-positive,info,,"Import ""from utilities import *"" should be placed at the top of the module",,Pylint,Wrong Import Position,
false-positive,info,,"Import ""import json"" should be placed at the top of the module",,Pylint,Wrong Import Position,
false-positive,info,,"Import ""from SimpleWebSocketServer import SimpleWebSocketServer, WebSocket"" should be placed at the top of the module",,Pylint,Wrong Import Position,
escalated,low,665,Undefined variable 'whatsapp',,Pylint,Initialization,
escalated,info,398,Unused import time,,Pylint,Unused import,
escalated,low,665,Undefined variable 'reload',,Pylint,Initialization,
false-positive,info,,"Import ""import traceback"" should be placed at the top of the module",,Pylint,Wrong Import Position,
false-positive,info,,"Import ""import os"" should be placed at the top of the module",,Pylint,Wrong Import Position,
false-positive,info,,"Import ""from whatsapp import WhatsAppWebClient"" should be placed at the top of the module",,Pylint,Wrong Import Position,
escalated,info,398,Unused import base64,,Pylint,Unused import,
escalated,info,398,Unused import os,,Pylint,Unused import,
escalated,low,388,No exception type(s) specified,,Pylint,Error Handling,
false-positive,info,398,Avoid using global variables.,Best Practices,PMD,Undeclared variables are global by default,
false-positive,info,398,Avoid using global variables.,Best Practices,PMD,Undeclared variables are global by default,
false-positive,info,398,Avoid using global variables.,Best Practices,PMD,Undeclared variables are global by default,
false-positive,info,398,Avoid using global variables.,Best Practices,PMD,Undeclared variables are global by default,
escalated,medium,665,'exports' is not defined.,,ESLint,Initialization,
false-positive,info,398,Avoid using global variables.,Best Practices,PMD,Undeclared variables are global by default,
false-positive,info,398,Avoid using global variables.,Best Practices,PMD,Undeclared variables are global by default,
false-positive,info,99,Redefining built-in 'str',,Pylint,Resource Injection,
false-positive,info,99,Redefining built-in 'str',,Pylint,Resource Injection,
escalated,info,,"standard import ""import json"" should be placed before ""from google.protobuf import json_format""",,Pylint,Wrong Import Order,
false-positive,info,99,Redefining built-in 'str',,Pylint,Resource Injection,
false-positive,info,99,Redefining built-in 'str',,Pylint,Resource Injection,
escalated,medium,665,'require' is not defined.,,ESLint,Initialization,
escalated,info,,Functions declared within loops referencing an outer scoped variable may lead to confusing semantics. (spacesPerIndentLevel),,JSHint,Don't make functions within a loop,
escalated,info,,"Functions declared within loops referencing an outer scoped variable may lead to confusing semantics. (stringifyMessageSpec, stringifyEnum)",,JSHint,Don't make functions within a loop,
escalated,low,489,Unexpected console statement.,,ESLint,Leftover Debug Code,
escalated,info,,Functions declared within loops referencing an outer scoped variable may lead to confusing semantics. (modInfo),,JSHint,Don't make functions within a loop,
escalated,info,,"Functions declared within loops referencing an outer scoped variable may lead to confusing semantics. (stringifyMessageSpecMember, spacesPerIndentLevel, stringifyEnum)",,JSHint,Don't make functions within a loop,
escalated,high,77,Variable Assigned to Object Injection Sink,security,ESLint,Command Injection,
escalated,low,489,Unexpected console statement.,,ESLint,Leftover Debug Code,
escalated,info,,"Functions declared within loops referencing an outer scoped variable may lead to confusing semantics. (stringifyMessageSpecMember, spacesPerIndentLevel)",,JSHint,Don't make functions within a loop,
escalated,info,,Functions declared within loops referencing an outer scoped variable may lead to confusing semantics. (modInfo),,JSHint,Don't make functions within a loop,
escalated,medium,665,'require' is not defined.,,ESLint,Initialization,
escalated,low,489,Unexpected console statement.,,ESLint,Leftover Debug Code,
false-positive,info,,"Functions declared within loops referencing an outer scoped variable may lead to confusing semantics. (identsArr, idents)",,JSHint,Don't make functions within a loop,
escalated,low,489,Unexpected console statement.,,ESLint,Leftover Debug Code,
escalated,high,77,Generic Object Injection Sink,security,ESLint,Command Injection,
escalated,low,489,Unexpected console statement.,,ESLint,Leftover Debug Code,
escalated,low,398,Unnecessary semicolon.,,ESLint,Disallow unnecessary semicolons,
escalated,low,489,Unexpected console statement.,,ESLint,Leftover Debug Code,
escalated,high,77,Generic Object Injection Sink,security,ESLint,Command Injection,
false-positive,info,,Expected an assignment or function call and instead saw an expression.,,JSHint,Expected an assignment or function call and saw an expression,
escalated,high,77,Generic Object Injection Sink,security,ESLint,Command Injection,
escalated,info,,"Functions declared within loops referencing an outer scoped variable may lead to confusing semantics. (modInfo, console, modulesInfo)",,JSHint,Don't make functions within a loop,
escalated,high,77,Variable Assigned to Object Injection Sink,security,ESLint,Command Injection,
escalated,low,398,Unnecessary semicolon.,,ESLint,Disallow unnecessary semicolons,
escalated,info,,Unnecessary semicolon.,,JSHint,Unnecessary semicolon,
escalated,high,77,Generic Object Injection Sink,security,ESLint,Command Injection,
escalated,medium,665,'require' is not defined.,,ESLint,Initialization,
false-positive,info,,'async functions' is only available in ES8 (use 'esversion: 8').,,JSHint,Use of ES6 extension,
escalated,info,,Unnecessary semicolon.,,JSHint,Unnecessary semicolon,
escalated,low,489,Unexpected console statement.,,ESLint,Leftover Debug Code,
false-positive,info,,'async functions' is only available in ES8 (use 'esversion: 8').,,JSHint,Use of ES6 extension,
escalated,low,665,Undefined variable 'strng',,Pylint,Initialization,
false-positive,info,,"Unnecessary ""elif"" after ""return""",,Pylint,Unnecessary else after return,
false-positive,low,,"Either all return statements in a function should return an expression, or none of them should.",,Pylint,Inconsistent return statements,
false-positive,info,,"Unnecessary ""elif"" after ""return""",,Pylint,Unnecessary else after return,
false-positive,low,,"Either all return statements in a function should return an expression, or none of them should.",,Pylint,Inconsistent return statements,
false-positive,info,,"Unnecessary ""elif"" after ""return""",,Pylint,Unnecessary else after return,
false-positive,info,561,Unused variable 'i',,Pylint,Dead Code,
false-positive,info,561,Unused variable 'i',,Pylint,Dead Code,
false-positive,info,561,Unused variable 'i',,Pylint,Dead Code,
false-positive,info,,"Unnecessary ""elif"" after ""return""",,Pylint,Unnecessary else after return,
false-positive,info,,"Unnecessary ""elif"" after ""return""",,Pylint,Unnecessary else after return,
false-positive,low,,"Either all return statements in a function should return an expression, or none of them should.",,Pylint,Inconsistent return statements,
false-positive,info,,"Unnecessary ""else"" after ""return""",,Pylint,Unnecessary else after return,
false-positive,info,561,Unused variable 'i',,Pylint,Dead Code,
false-positive,low,,"Either all return statements in a function should return an expression, or none of them should.",,Pylint,Inconsistent return statements,
escalated,high,77,Generic Object Injection Sink,security,ESLint,Command Injection,
escalated,high,77,,,,Command Injection,
escalated,high,77,Generic Object Injection Sink,security,ESLint,Command Injection,
escalated,high,77,,,,Command Injection,
escalated,high,77,,,,Command Injection,
escalated,high,77,,,,Command Injection,
escalated,high,77,,,,Command Injection,
escalated,high,77,,,,Command Injection,
escalated,high,77,,,,Command Injection,
escalated,high,77,,,,Command Injection,
escalated,high,77,,,,Command Injection,
escalated,high,77,Generic Object Injection Sink,security,ESLint,Command Injection,
escalated,low,561,'_0' is assigned a value but never used.,,ESLint,Dead Code,
escalated,high,77,Generic Object Injection Sink,security,ESLint,Command Injection,
escalated,high,77,,,,Command Injection,
escalated,high,77,Generic Object Injection Sink,security,ESLint,Command Injection,
escalated,high,77,Generic Object Injection Sink,security,ESLint,Command Injection,
escalated,high,77,,,,Command Injection,
escalated,high,77,,,,Command Injection,
escalated,high,77,,,,Command Injection,
escalated,high,77,,,,Command Injection,
escalated,high,77,Generic Object Injection Sink,security,ESLint,Command Injection,
escalated,high,77,,,,Command Injection,
escalated,high,77,Generic Object Injection Sink,security,ESLint,Command Injection,
escalated,high,77,Generic Object Injection Sink,security,ESLint,Command Injection,
escalated,high,77,Generic Object Injection Sink,security,ESLint,Command Injection,
escalated,high,77,,,,Command Injection,
escalated,high,77,,,,Command Injection,
escalated,high,77,,,,Command Injection,
escalated,high,77,Generic Object Injection Sink,security,ESLint,Command Injection,
escalated,high,77,,,,Command Injection,
escalated,high,77,Generic Object Injection Sink,security,ESLint,Command Injection,
escalated,high,77,Generic Object Injection Sink,security,ESLint,Command Injection,
escalated,high,77,,,,Command Injection,
escalated,high,77,,,,Command Injection,
escalated,high,77,,,,Command Injection,
escalated,high,77,Generic Object Injection Sink,security,ESLint,Command Injection,
escalated,high,77,Generic Object Injection Sink,security,ESLint,Command Injection,
escalated,high,77,Generic Object Injection Sink,security,ESLint,Command Injection,
escalated,high,77,,,,Command Injection,
escalated,high,77,,,,Command Injection,
escalated,high,77,Generic Object Injection Sink,security,ESLint,Command Injection,
escalated,high,77,Generic Object Injection Sink,security,ESLint,Command Injection,
escalated,high,77,,,,Command Injection,
escalated,high,77,Generic Object Injection Sink,security,ESLint,Command Injection,
escalated,high,77,Generic Object Injection Sink,security,ESLint,Command Injection,
escalated,high,77,,,,Command Injection,
escalated,high,77,Generic Object Injection Sink,security,ESLint,Command Injection,
escalated,high,77,Generic Object Injection Sink,security,ESLint,Command Injection,
escalated,high,77,Generic Object Injection Sink,security,ESLint,Command Injection,
escalated,high,77,Generic Object Injection Sink,security,ESLint,Command Injection,
escalated,high,77,,,,Command Injection,
escalated,high,77,Generic Object Injection Sink,security,ESLint,Command Injection,
escalated,high,77,Generic Object Injection Sink,security,ESLint,Command Injection,
escalated,high,77,,,,Command Injection,
escalated,high,77,Generic Object Injection Sink,security,ESLint,Command Injection,
escalated,high,77,Generic Object Injection Sink,security,ESLint,Command Injection,
escalated,high,77,Generic Object Injection Sink,security,ESLint,Command Injection,
escalated,high,77,Generic Object Injection Sink,security,ESLint,Command Injection,
escalated,high,77,,,,Command Injection,
escalated,low,561,'d' is assigned a value but never used.,,ESLint,Dead Code,
escalated,high,77,Generic Object Injection Sink,security,ESLint,Command Injection,
escalated,medium,665,,,,Initialization,
escalated,high,77,Generic Object Injection Sink,security,ESLint,Command Injection,
escalated,high,77,Generic Object Injection Sink,security,ESLint,Command Injection,
escalated,high,77,Function Call Object Injection Sink,security,ESLint,Command Injection,
escalated,high,77,Generic Object Injection Sink,security,ESLint,Command Injection,
escalated,high,77,Generic Object Injection Sink,security,ESLint,Command Injection,
escalated,high,77,Generic Object Injection Sink,security,ESLint,Command Injection,
escalated,high,77,,,,Command Injection,
escalated,high,77,,,,Command Injection,
escalated,high,77,Generic Object Injection Sink,security,ESLint,Command Injection,
escalated,low,561,'d' is assigned a value but never used.,,ESLint,Dead Code,
escalated,high,77,Generic Object Injection Sink,security,ESLint,Command Injection,
escalated,high,77,Generic Object Injection Sink,security,ESLint,Command Injection,
escalated,high,77,Generic Object Injection Sink,security,ESLint,Command Injection,
escalated,medium,665,'require' is not defined.,,ESLint,Initialization,
escalated,medium,665,'require' is not defined.,,ESLint,Initialization,
escalated,medium,665,'require' is not defined.,,ESLint,Initialization,
escalated,low,561,'e' is defined but never used.,,ESLint,Dead Code,
escalated,low,561,'req' is defined but never used.,,ESLint,Dead Code,
escalated,low,561,'_' is assigned a value but never used.,,ESLint,Dead Code,
escalated,low,561,'fs' is assigned a value but never used.,,ESLint,Dead Code,
escalated,low,561,'path' is assigned a value but never used.,,ESLint,Dead Code,
escalated,medium,665,'require' is not defined.,,ESLint,Initialization,
escalated,low,561,'e' is defined but never used.,,ESLint,Dead Code,
escalated,low,489,Unexpected console statement.,,ESLint,Leftover Debug Code,
escalated,low,561,'e' is defined but never used.,,ESLint,Dead Code,
escalated,high,79,HTML passed in to function '$',xss,ESLint,Cross-site Scripting (XSS),
escalated,medium,665,'BootstrapStep' is not defined.,,ESLint,Initialization,
false-positive,medium,665,'$' is not defined.,,ESLint,Initialization,
escalated,high,79,HTML passed in to function '$',xss,ESLint,Cross-site Scripting (XSS),
false-positive,medium,665,'$' is not defined.,,ESLint,Initialization,
false-positive,medium,665,'$' is not defined.,,ESLint,Initialization,
false-positive,medium,665,'$' is not defined.,,ESLint,Initialization,
escalated,medium,665,'BootstrapStep' is not defined.,,ESLint,Initialization,
false-positive,medium,665,'$' is not defined.,,ESLint,Initialization,
false-positive,medium,665,'$' is not defined.,,ESLint,Initialization,
escalated,high,79,Non-HTML variable 'message' is used to store raw HTML,xss,ESLint,Cross-site Scripting (XSS),
false-positive,medium,665,'$' is not defined.,,ESLint,Initialization,
false-positive,medium,665,'$' is not defined.,,ESLint,Initialization,
escalated,high,77,Variable Assigned to Object Injection Sink,security,ESLint,Command Injection,
escalated,low,561,'obj' is defined but never used.,,ESLint,Dead Code,
false-positive,medium,665,,,,Initialization,
escalated,medium,665,'bootbox' is not defined.,,ESLint,Initialization,
false-positive,medium,665,'$' is not defined.,,ESLint,Initialization,
escalated,high,79,HTML passed in to function '$',xss,ESLint,Cross-site Scripting (XSS),
escalated,medium,665,'BootstrapStep' is not defined.,,ESLint,Initialization,
false-positive,medium,665,'$' is not defined.,,ESLint,Initialization,
escalated,high,79,HTML passed in to function '$',xss,ESLint,Cross-site Scripting (XSS),
false-positive,medium,665,'$' is not defined.,,ESLint,Initialization,
false-positive,medium,665,'$' is not defined.,,ESLint,Initialization,
false-positive,medium,665,'$' is not defined.,,ESLint,Initialization,
false-positive,medium,665,'$' is not defined.,,ESLint,Initialization,
false-positive,medium,665,'$' is not defined.,,ESLint,Initialization,
false-positive,medium,665,'$' is not defined.,,ESLint,Initialization,
escalated,low,561,'sleep' is defined but never used.,,ESLint,Dead Code,
false-positive,medium,665,'$' is not defined.,,ESLint,Initialization,
false-positive,medium,665,'$' is not defined.,,ESLint,Initialization,
escalated,medium,665,'jsonTree' is not defined.,,ESLint,Initialization,
escalated,high,77,Variable Assigned to Object Injection Sink,security,ESLint,Command Injection,
escalated,medium,665,'BootstrapStep' is not defined.,,ESLint,Initialization,
false-positive,medium,665,'$' is not defined.,,ESLint,Initialization,
false-positive,medium,665,'$' is not defined.,,ESLint,Initialization,
false-positive,medium,665,'$' is not defined.,,ESLint,Initialization,
false-positive,info,398,Avoid using global variables.,Best Practices,PMD,Undeclared variables are global by default,
false-positive,medium,665,'$' is not defined.,,ESLint,Initialization,
escalated,low,561,'responseTimeout' is assigned a value but never used.,,ESLint,Dead Code,
false-positive,medium,665,'$' is not defined.,,ESLint,Initialization,
escalated,high,79,HTML passed in to function '$',xss,ESLint,Cross-site Scripting (XSS),
false-positive,medium,665,'$' is not defined.,,ESLint,Initialization,
escalated,medium,665,'WebSocketClient' is not defined.,,ESLint,Initialization,
false-positive,medium,665,'$' is not defined.,,ESLint,Initialization,
false-positive,info,398,Avoid using global variables.,Best Practices,PMD,Undeclared variables are global by default,
false-positive,medium,665,'$' is not defined.,,ESLint,Initialization,
false-positive,medium,665,'$' is not defined.,,ESLint,Initialization,
false-positive,medium,665,'$' is not defined.,,ESLint,Initialization,
false-positive,info,398,Avoid using global variables.,Best Practices,PMD,Undeclared variables are global by default,
false-positive,medium,665,'$' is not defined.,,ESLint,Initialization,
false-positive,medium,665,'$' is not defined.,,ESLint,Initialization,
escalated,high,,The function setTimeout can be unsafe,scanjs-rules,ESLint,Call setTimeout,
escalated,high,79,HTML passed in to function '$',xss,ESLint,Cross-site Scripting (XSS),
false-positive,info,398,Avoid using global variables.,Best Practices,PMD,Undeclared variables are global by default,
escalated,medium,665,'BootstrapStep' is not defined.,,ESLint,Initialization,
escalated,low,561,'reject' is defined but never used.,,ESLint,Dead Code,
escalated,high,79,HTML passed in to function '$',xss,ESLint,Cross-site Scripting (XSS),
